date,gasoline,wti,gasoline_bbls,crack_spread,year,cpi_values,crack_spread_adj,gasoline_adj,gasoline_bbls_adj,wti_adj
2011-05-30,3.848,100.1675,161.61599999999999,61.44849999999998,2011,260.376,23.599909361845942,1.4778627830522015,62.07023688819247,38.47032752634652
2011-06-06,3.833,100.55199999999999,160.98600000000002,60.434000000000026,2011,254.17,23.776999645906294,1.5080457961207068,63.33792343706969,39.5609237911634
2011-06-13,3.767,99.67999999999999,158.214,58.534000000000006,2011,254.17,23.029468465987335,1.482078923555101,62.247314789314245,39.2178463233269
2011-06-20,3.708,95.08,155.73600000000002,60.65600000000002,2011,254.17,23.864342762717875,1.458866113231302,61.27237675571469,37.40803399299681
2011-06-27,3.631,92.17999999999999,152.50199999999998,60.32199999999999,2011,254.17,23.732934650037375,1.4285714285714286,60.0,36.26706534996262
2011-07-04,3.634,94.465,152.628,58.16299999999998,2011,252.661,23.02017327565393,1.4382908323801455,60.40821495996611,37.388041684312185
2011-07-11,3.695,96.72999999999999,155.19,58.46000000000001,2011,252.661,23.137722086115392,1.4624338540574127,61.42222187041134,38.28449978429595
2011-07-18,3.736,96.876,156.912,60.036,2011,252.661,23.761482777318225,1.4786611309224615,62.10376749874338,38.34228472142515
2011-07-25,3.754,98.61200000000001,157.668,59.056,2011,252.661,23.373611281519505,1.485785301253458,62.40298265264524,39.02937137112574
2011-08-01,3.766,97.03,158.172,61.141999999999996,2011,251.706,24.291037956981558,1.4961899994437957,62.83997997663941,38.54894201965786
2011-08-08,3.73,88.112,156.66,68.548,2011,251.706,27.23335955440077,1.4818875990242584,62.23927915901886,35.005919604618086
2011-08-15,3.662,84.184,153.804,69.62,2011,251.706,27.659253255782545,1.4548719537873551,61.104622059068916,33.44536880328637
2011-08-22,3.638,84.672,152.796,68.124,2011,251.706,27.064909060570663,1.4453370201743305,60.70415484732188,33.63924578675121
2011-08-29,3.682,85.626,154.644,69.018,2011,251.706,27.420085337655838,1.4628177317982092,61.43834473552479,34.018259397868945
2011-09-05,3.727,88.2725,156.534,68.2615,2011,250.48,27.252275630788887,1.487943149153625,62.493612264452246,35.241336633663366
2011-09-12,3.715,87.962,156.03,68.068,2011,250.48,27.175023954008303,1.4831523474928137,62.292398594698184,35.11737464068988
2011-09-19,3.657,88.43599999999999,153.594,65.158,2011,250.48,26.01325455126158,1.4599968061322262,61.3198658575535,35.30661130629192
2011-09-26,3.568,82.506,149.856,67.35,2011,250.48,26.8883743213031,1.4244650271478763,59.8275311402108,32.9391568189077
2011-10-03,3.492,80.652,146.664,66.01199999999999,2011,240.902,27.4020140970187,1.4495521000240763,60.88118820101119,33.4791741039925
2011-10-10,3.476,80.994,145.992,64.99799999999999,2011,240.902,26.98109604735535,1.442910395098422,60.60223659413372,33.62114054677836
2011-10-17,3.533,85.596,148.386,62.78999999999999,2011,240.902,26.064540767615046,1.4665714688960658,61.59600169363476,35.53146092601971
2011-10-24,3.52,87.76599999999999,147.84,60.07400000000001,2011,240.902,24.937111356485218,1.4611750836439714,61.36935351304681,36.43224215656159
2011-10-31,3.511,92.72999999999999,147.46200000000002,54.73200000000003,2011,240.902,22.719612124432352,1.457439124623291,61.212443234178224,38.492831109745865
2011-11-07,3.482,93.71,146.244,52.534000000000006,2011,238.177,22.056705727253263,1.46193797050093,61.401394761039064,39.3446890337858
2011-11-14,3.495,97.49,146.79,49.3,2011,238.177,20.69889200048703,1.4673960961805717,61.630636039584004,40.93174403909698
2011-11-21,3.427,99.036,143.934,44.897999999999996,2011,238.177,18.85068667419608,1.4388459003178309,60.43152781334889,41.58084113915282
